%
/O 
 0 
/0 
 ° 
/0 
/O 
/o 
,, 
,, 
/° 
/0 
/0 
P/0
°fo
/o
°/
/c
/p
/6
o/
/ O
  / 0
/ °
0/0
O/O
  /„
"   "" /„"
   °/
•/•
   /.
   /c
o/0
°/0 
°/„ 
 °/o 
°/°
francs
Francs
fr.
frs
Fr.
Frs

----
cour.
couronnes
drachmes
£
£p.
fl
fl.
florins
franc belge 
fr. s.
l. tq.
lire
mark
piastres
pes.
pesetas
p.-mexic.
piécettes
roubles
sh.
shil.
shilling
shillings
$
