le surplus
sur le surplus
après affectation
ensuite
le solde
sur le solde
l'excédent
sur l'excédent
sur le reliquat
après amortissement de toutes les actions
après ces divers prélèvements
Le reste des bénéfices
après paiement
après la répartition
sur le reste
du surplus
le reliquat
le solde disponible
sur le disponible
sur le restant
sur le nouveau solde subsistant
