source_id,niveau,montant,unite,ordre,order_niveau_regle,cible,flag_chiffre_independant_des_benefs,exception,cible_si_independant,flag_optionel,min,max,flag_cible_multiple,flag_delegation
317254,3,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317254,3,90,%,4,2,actions,False,False,False,False,False,False,False,False
317270,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317270,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317270,3,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317270,3,90,%,4,2,actions de capital,False,False,False,False,False,False,False,False
317285,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317285,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317285,2,5,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317285,2,5,%,4,2,parts de fondateur,False,False,False,False,False,False,False,False
317285,2,45,%,5,3,actions de capital,False,False,False,False,False,False,False,False
317285,2,45,%,6,4,actions de dividende,False,False,False,False,False,False,False,False
317305,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317305,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317305,3,250,Francs,3,1,actions de capital,False,False,False,False,False,False,False,False
317305,3,7,%,4,2,conseil d’administration et au collège des commissaire,False,False,False,False,False,False,False,False
317305,5,50,%,5,1,actions de capital et de jouissance,False,False,False,False,False,False,False,False
317305,5,50,%,6,2,actions de dividende,False,False,False,False,False,False,False,False
317324,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317324,1,4,%,2,2,intérêt aux actions privilégiées,True,False,False,False,False,False,False,False
317324,1,4,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317324,2,10,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317324,2,5,%,5,2,administrateur-délégué,False,False,False,False,False,False,False,True
317324,2,15,%,6,3,personnel,False,False,False,False,False,False,False,False
317324,2,70,%,7,4,actions,False,False,False,False,False,False,False,False
317338,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317338,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317338,3,10,%,3,1,conseil,False,False,False,False,False,False,False,False
317338,3,90,%,4,2,actions,False,False,False,False,False,False,False,False
317353,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317353,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317353,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317353,2,90,%,4,2,actions,False,False,False,False,False,False,False,False
317368,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317368,1,4,%,2,2,actions de priorité,True,False,False,False,False,False,False,False
317368,1,4,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317368,2,10,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317368,3,20,%,5,1,fonds d’amortissement,False,False,False,False,False,False,False,False
317386,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317386,1,6,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317386,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
317386,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
317402,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317402,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317402,1,20,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
317402,1,80,%,4,4,actionnaires,False,False,False,False,False,False,False,False
317418,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317418,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317433,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317433,1,000,Francs,2,2,fonds d’amortissement,False,False,False,False,False,False,False,False
317433,1,5,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317433,2,5,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317458,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317458,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317458,2,20,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317458,2,80,%,4,2,actions,False,False,False,False,False,False,False,False
317472,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317472,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317472,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317472,2,90,%,4,2,actions,False,False,False,False,False,False,False,False
317486,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317486,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317486,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
317486,2,10,%,4,2,conseil,False,False,False,False,False,False,False,False
317502,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317502,1,5,%,2,2,intérêt cumulatif aux actions de priorité,True,False,False,False,False,False,False,False
317502,1,5,%,3,3,fonds d’amortissement,False,False,False,False,False,False,False,False
317502,1,4,%,4,4,intérêt non cumulatif aux actions,True,False,False,False,False,False,False,False
317502,2,10,%,5,1,conseil d’administration,False,False,False,False,False,False,False,False
317502,2,90,%,6,2,actions ordinaires,False,False,False,False,False,False,False,False
317519,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317519,1,15,%,2,2,fonds d’amortissement,False,False,False,False,False,False,False,False
317519,1,5,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317519,2,85,%,4,1,actions,False,False,False,False,False,False,False,False
317519,2,10,%,5,2,conseil d’administration,False,False,False,False,False,False,False,False
317519,2,5,%,6,3,direction,False,False,False,False,False,False,False,False
317552,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317552,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317552,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
317552,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
317566,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317566,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317566,2,15,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317566,2,15,%,4,2,personnel,False,False,False,False,False,False,False,False
317566,2,40,%,5,3,actions,False,False,False,False,False,False,False,False
317583,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317583,1,5,%,2,2,fonds d’amortissement,False,False,False,False,False,False,False,False
317583,1,5,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317583,2,15,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317583,2,85,%,5,2,actions,False,False,False,False,False,False,False,False
317598,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317598,1,10,%,2,2,parts bénéficiaires,False,False,False,False,False,False,False,False
317598,1,50,Francs,3,3,parts,False,False,False,False,False,False,False,False
317598,2,1,%,4,1,chaque administrateur,False,False,False,False,False,False,True,False
317598,2,1/3,%,5,2,chaque commissaire,False,False,False,False,False,False,True,False
317616,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317616,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317616,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317635,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317635,1,6,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317635,1,1,%,3,3,chaque membre du conseil,False,False,False,False,False,False,True,False
317635,1,2,%,4,4,personnel,False,False,False,False,False,False,False,False
317652,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317652,1,6,%,2,2,intérêt cumulatif aux actions de priorité,True,False,False,False,False,False,False,False
317652,1,5,%,3,3,actions ordinaires,False,False,False,False,False,False,False,False
317652,2,10,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317652,2,90,%,5,2,actions,False,False,False,False,False,False,False,False
317683,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317683,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317683,1,10,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
317683,2,50,%,4,1,actions,False,False,False,False,False,False,False,False
317683,2,50,%,5,2,parts de fondateur,False,False,False,False,False,False,False,False
317697,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317697,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317697,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317697,3,65,%,4,1,actions,False,False,False,False,False,False,False,False
317697,3,35,%,5,2,parts de fondateur,False,False,False,False,False,False,False,False
317715,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317715,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317715,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317715,3,65,%,4,1,actions,False,False,False,False,False,False,False,False
317715,3,35,%,5,2,parts de fondateur,False,False,False,False,False,False,False,False
317731,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317747,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317747,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317747,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317747,3,50,%,4,1,actions ordinaires,False,False,False,False,False,False,False,False
317747,3,50,%,5,2,actions,False,False,False,False,False,False,False,False
317762,1,10,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317762,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317762,2,15,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317762,2,25,%,4,2,parts bénéficiaires,False,False,False,False,False,False,False,False
317778,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317778,1,10,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317778,3,50,%,3,1,actions,False,False,False,False,False,False,False,False
317778,3,50,%,4,2,parts,False,False,False,False,False,False,False,False
317796,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317796,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317796,2,75,%,3,1,actions,False,False,False,False,False,False,False,False
317796,2,9,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
317796,2,16,%,5,3,parts de fondateur,False,False,False,False,False,False,False,False
317813,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317813,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317813,2,1,%,3,1,chaque membre du conseil,False,False,False,False,False,False,True,False
317813,2,13,%,4,2,chaque commissaire,False,sauf affectation de tout ou partie à la dotation d’un fonds de prévision ou de réserve extraordinaire,True,False,False,False,False,False
317827,1,5,%,1,1,intérêt aux actions,True,False,False,False,False,False,False,False
317827,2,8,%,2,1,directeur,False,False,False,False,False,False,False,False
317827,2,5,%,3,2,conseil d’administration,False,False,False,False,False,False,False,False
317827,2,5,%,4,3,personnel,False,False,False,False,False,False,False,False
317843,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317843,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317843,2,10,%,3,1,conseil,False,False,False,False,False,False,False,False
317843,3,50,%,4,1,actions,False,False,False,False,False,False,False,False
317843,3,50,%,5,2,parts,False,False,False,False,False,False,False,False
317865,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
317865,1,6,%,2,2,intérêt aux actions privilégiées,True,False,False,False,False,False,False,False
317865,2,25,%,3,1,actions privilégiées,False,False,False,False,False,False,False,False
317865,3,9,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317865,3,1,%,5,2,directeur,False,False,False,False,False,False,False,False
317865,3,30,%,6,3,actions de jouissance,False,False,False,False,False,False,False,False
317865,3,60,%,7,4,actions de capital,False,False,False,False,False,False,False,False
317891,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317891,1,25,Francs,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317891,1,10,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
317907,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317907,1,6,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317907,2,25,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317907,2,75,%,4,2,actions,False,False,False,False,False,False,False,False
317920,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317920,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317920,1,10,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
317920,2,67,%,4,1,actions,False,False,False,False,False,False,False,False
317920,2,33,%,5,2,parts de fondateur,False,False,False,False,False,False,False,False
317936,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317936,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317936,2,30,%,3,1,fonds de réserve,False,False,False,False,False,False,False,False
317936,2,5,%,4,2,administrateurs,False,False,False,False,False,False,False,False
317936,3,40,%,5,1,parts de fondateur,False,False,False,False,False,False,False,False
317936,3,60,%,6,2,actions,False,False,False,False,False,False,False,False
317953,1,10,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317953,1,5,%,2,2,actions privilégiées,True,False,False,False,False,False,False,False
317953,1,5,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
317953,2,7,%,4,1,conseil d’administration,False,False,False,False,False,False,False,False
317953,2,92,%,5,2,actions,False,False,False,False,False,False,False,False
317970,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317970,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317970,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317970,2,90,%,4,2,actions,False,False,False,False,False,False,False,False
317991,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
317991,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
317991,2,5,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
317991,2,10,%,4,2,direction,False,False,False,False,False,False,False,False
317991,2,85,%,5,3,l’assemblée,False,False,False,False,False,False,False,False
318005,1,7,%,1,1,actions preferred,False,False,False,False,False,False,False,False
318005,1,10,%,2,2,fonds de réserve,False,False,False,False,False,False,False,False
318005,1,1,%,3,3,chaque administrateur,False,False,False,False,False,False,True,False
318005,1,1,%,4,4,président,False,False,False,False,False,False,False,False
318005,2,7,%,5,1,actions preferred,False,False,False,False,False,False,False,False
318019,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318019,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318019,2,90,%,3,1,actions,False,False,False,False,False,False,False,False
318019,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
318034,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318034,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318034,2,5,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318034,2,5,%,4,2,fonds de prévoyance,False,False,False,False,False,False,False,False
318034,2,90,%,5,3,actions,False,False,False,False,False,False,False,False
318052,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318052,1,5,%,2,2,actions,True,False,False,False,False,False,False,False
318052,1,10,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
318052,1,10,%,4,4,fonds de réserve spécial,False,False,False,False,False,à un fonds de réserve spécial ou d’amortissement jusqu’à concurrence du quart du capital,False,False
318052,2,50,%,5,1,actions,False,False,False,False,False,False,False,False
318052,2,50,%,6,2,parts,False,False,False,False,False,False,False,False
318069,1,5,%,1,1,fonds de réserve,False,False,False,False,False,False,False,False
318069,1,6,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318069,2,15,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318069,2,666,%,4,2,toutes les actions sans distinction,False,False,False,False,False,False,False,False
318069,2,324,%,5,3,parts de fondateur,False,False,False,False,False,False,False,False
318085,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318085,1,5,%,2,2,actions de priorité,True,False,False,False,False,False,False,False
318085,1,5,%,3,3,intérêt aux actions,True,False,False,False,False,False,False,False
318102,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
318102,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318102,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318102,3,65,%,4,1,actions,False,False,False,False,False,False,False,False
318102,3,35,%,5,2,parts bénéficiaires,False,False,False,False,False,False,False,False
318120,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318120,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318120,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318120,2,15,%,4,2,parts de fondateur,False,False,False,False,False,False,False,False
318120,2,75,%,5,3,actions,False,False,False,False,False,False,False,False
318135,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318135,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318135,1,5,%,3,3,fonds d’amortissement,False,sauf la portion mise en réserve ou reportée à nouveau,True,False,False,False,False,False
318151,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318151,1,6,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318151,2,15,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318151,3,25,%,4,1,parts de fondateur,False,False,False,False,False,False,False,False
318151,3,75,%,5,2,actions,False,False,False,False,False,False,False,False
318167,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318167,1,5,%,2,2,intérêt aux actions,False,et sauf prélèvement facultatif d’une somme égale à  au maximum des bénéfices nets en faveur d’une réserve de prévoyance,True,True,False,et sauf prélèvement facultatif d’une somme égale à  au maximum des bénéfices nets en faveur d’une réserve de prévoyance,False,False
318167,2,5,%,4,2,administrateurs,False,False,False,False,False,False,False,False
318167,2,45,%,5,3,parts de fondateur,False,False,False,False,False,False,False,False
318167,2,50,%,6,4,actions,False,False,False,False,False,False,False,False
318184,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318184,1,4,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318184,2,1/2,%,3,1,chaque administrateur,False,False,False,False,False,False,True,False
318184,2,1,%,4,2,président,False,False,False,False,False,False,False,False
318184,3,75,%,5,1,actions,False,False,False,False,False,False,False,False
318184,3,25,%,6,2,parts bénéficiaires,False,False,False,False,False,False,False,False
318199,1,5,%,1,1,réserve,False,False,False,False,False,False,False,False
318199,1,5,%,2,2,fonds d’amortissement,False,False,False,False,False,False,False,False
318199,1,2,%,3,3,fonds d’assurances,False,False,False,False,False,False,False,False
318199,1,5,%,4,4,conseil d’administration,False,False,False,False,False,False,False,False
318199,1,80,%,5,5,actions,False,False,False,False,False,False,False,False
318216,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318216,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318216,1,15,%,3,3,conseil d’administration,False,False,False,False,False,False,False,False
318230,1,10,%,1,1,fonds de prévoyance,False,False,False,False,False,au fonds de prévoyance jusqu’à ce qu’il atteigne 1 million,False,False
318230,3,5,%,2,1,réserve légale,False,False,False,False,False,False,False,False
318230,3,5,%,3,2,intérêt aux actions,True,False,False,False,False,False,False,False
318230,4,20,%,4,1,parts bénéficiaires,False,False,False,False,False,False,False,False
318230,4,70,%,5,2,actions,False,False,False,False,False,False,False,False
318230,4,10,%,6,3,conseil d’administration,False,False,False,False,False,False,False,False
318247,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318247,1,5,%,2,2,actions de priorité,True,False,False,False,False,False,False,False
318247,2,5,%,3,1,actions ordinaires,False,False,False,False,False,False,False,False
318247,3,25,%,4,1,parts,False,False,False,False,False,False,False,False
318247,3,75,%,5,2,actions,False,False,False,False,False,False,False,False
318265,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318265,1,3,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318265,2,10,%,3,1,directeur,False,False,False,False,False,False,False,False
318265,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
318265,2,80,%,5,3,actions,False,False,False,False,False,False,False,False
318278,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318278,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318278,2,85,%,3,1,actions,False,False,False,False,False,False,False,False
318278,2,10,%,4,2,conseil d’administration,False,False,False,False,False,False,False,False
318278,2,5,%,5,3,direction,False,False,False,False,False,False,False,False
318296,1,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318296,1,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318296,2,10,%,3,1,conseil d’administration,False,False,False,False,False,False,False,False
318296,2,45,%,4,2,actions,False,False,False,False,False,False,False,False
318296,2,45,%,5,3,parts de fondateur,False,False,False,False,False,False,False,False
318341,2,5,%,1,1,réserve légale,False,False,False,False,False,False,False,False
318341,2,5,%,2,2,intérêt aux actions,True,False,False,False,False,False,False,False
318341,3,90,%,3,1,actions,False,False,False,False,False,False,False,False
318341,3,10,%,4,2,administrateurs,False,False,False,False,False,False,False,False
318368,1,5,%,1,1,intérêt aux actions,True,False,False,False,False,False,False,False
318368,1,5,%,2,2,fonds de réserve,False,False,False,False,False,False,False,False
318368,2,2,%,3,1,administrateurs,False,False,False,False,False,False,False,False
